P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12.1,P12.2,P12.3,P12.4,P12.5,P12.6,P12.7,P12.8,P12.9,P13,P14,P15,P16,P17.1,P17.2,P17.3,P17.4,P17.5,P17.6,P18,P19,P20.1,P20.2,P20.3,P20.4,P20.5,P20.6,P20.7,P21.1,P21.2,P21.3,P22.1,P22.2,P22.3,P23,P24.1,P24.2,P24.3,P24.4,P24.5,P24.6,P12.I,P17.I,P20.I,P22.I,P24.I
Hombre,Española,Entre 45 y 54 años,Bachillerato,El Pla,Trabajador por cuenta ajena,Calzado,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ha disminuido,Sí,NS-NC,Sí,No,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,No,15,4,3,3,4
Mujer,Española,Entre 25 y 34 años,Educación Primaria,Carrús,En paro,Servicio doméstico,Nunca he cotizado,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Igual,Ha aumentado,Sí,Trabajador y empresario,Sí,No,No,Sí,No,Sí,Otro,NS-NC,No,No,Sí,Sí,Sí,No,Sí,8,6,6,De acuerdo,De acuerdo,En desacuerdo,Sí,No,Sí,Sí,Sí,Sí,No,9,3,4,2,4
Mujer,Española,Entre 55 y 64 años,Educación Primaria,El Pla,En paro,Calzado,31 o más años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,NS-NC,NS-NC,Poca,NS-NC,Poca,NS-NC,NS-NC,Más,Ni ha disminuido ni ha aumentado,No,Empresario,Sí,Sí,Sí,No,No,Sí,Otro,Sí,No,Sí,Sí,No,No,No,No,10,4,4,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,4,4,2,3,5
Hombre,Española,Entre 35 y 44 años,Formación Profesional,El Pla,Trabajador autónomo,Resto sector servicios,Menos de 10 años cotizados,Muy poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,No,Sí,No,No,Sí,Lo que diga la ley,Sí,No,Sí,No,No,Sí,No,Sí,2,0,1,En desacuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,Sí,Sí,12,3,3,2,3
Mujer,Española,Entre 25 y 34 años,Formación Profesional,Carrús,Ama/o de casa,Amo/a de casa,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,Poca,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,3,5,8,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,11,5,3,1,4
Mujer,Española,Entre 55 y 64 años,Bachillerato,Altabix,Ama/o de casa,Resto sector servicios,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Poca,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,Sí,No,12,6,2,3,3
Hombre,Española,Entre 18 y 24 años,Bachillerato,Altabix,Estudiante,Estudiando,Nunca he cotizado,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,No,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,3,2,5,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,15,4,4,3,5
Mujer,Española,De 65 en adelante,Sin estudios,Carrús,Jubilado/Pensionista,Amo/a de casa,Nunca he cotizado,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,No,No,Sí,Otro,Sí,No,No,Sí,No,Sí,No,Sí,7,6,7,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,15,4,3,3,5
Mujer,Española,Entre 35 y 44 años,Bachillerato,El Pla,Trabajador autónomo,Resto sector servicios,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Moderada o mucha,NS-NC,NS-NC,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,9,5,3,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,10,5,2,3,5
Mujer,Española,Entre 18 y 24 años,Educación Primaria,Altabix,En paro,Hostelería-Turismo,Nunca he cotizado,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Poca,Más,Ha disminuido,Sí,NS-NC,No,No,No,Sí,Sí,Sí,Lo que diga la ley,NS-NC,Sí,No,No,No,Sí,No,Sí,2,6,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,13,3,3,3,5
Hombre,Española,Entre 45 y 54 años,Formación Profesional,Carrús,En paro,Sanidad,31 o más años cotizados,Muy responsables,Muy responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Ninguna,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Poca,Igual,Ha disminuido,Sí,Empresario,Sí,No,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,1,5,5,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,5,3,3,5
Mujer,Española,Entre 45 y 54 años,Educación Primaria,Campo Elche,Jubilado/Pensionista,Calzado,Menos de 10 años cotizados,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Moderada o mucha,Igual,Ha disminuido,No,Trabajador,Sí,Sí,Sí,Sí,No,Sí,Otro,Sí,Sí,No,No,Sí,No,No,Sí,0,2,6,De acuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,No,Sí,No,15,5,3,2,4
Mujer,Española,Entre 55 y 64 años,Educación Primaria,Altabix,En paro,Servicio doméstico,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,NS-NC,Más,Ha aumentado,No,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,9,7,7,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,6,4,3,5
Hombre,Española,Entre 45 y 54 años,Educación Primaria,Carrús,NS-NC,Resto sector servicios,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Igual,Ni ha disminuido ni ha aumentado,NS-NC,Empresario,Sí,Sí,Sí,No,Sí,Sí,Nada,Sí,No,No,Sí,No,Sí,No,Sí,5,5,7,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,13,5,3,3,5
Mujer,Española,Entre 25 y 34 años,Título Universitario,El Pla,En paro,Sanidad,Menos de 10 años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,4,4,3,De acuerdo,En desacuerdo,En desacuerdo,Sí,Sí,Sí,No,No,Sí,No,15,6,4,1,3
Mujer,Española,Entre 55 y 64 años,Bachillerato,Carrús,En paro,Calzado,Menos de 10 años cotizados,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Más,Ha aumentado,Sí,Trabajador,Sí,No,Sí,No,No,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,7,6,7,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,3,6,3,5
Mujer,Española,Entre 35 y 44 años,Educación secundaria,Altabix,En paro,Resto sector servicios,Entre 10 y 20 años cotizados,Muy poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Menos,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,5,6,8,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,15,5,3,1,5
Hombre,Española,Entre 25 y 34 años,Sin estudios,Carrús,Otro,Construcción,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Ninguna,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,No,Empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,No,Sí,Sí,Sí,No,Sí,0,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,Sí,13,4,5,2,4
Hombre,Española,Entre 45 y 54 años,Educación secundaria,El Pla,Trabajador por cuenta ajena,Resto sector servicios,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Poca,Moderada o mucha,Poca,Ninguna,Poca,Más,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,No,No,No,No,No,No,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,2,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,9,0,7,3,5
Mujer,Española,Entre 45 y 54 años,Bachillerato,Altabix,Trabajador por cuenta ajena,Servicio doméstico,Entre 10 y 20 años cotizados,Poco responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,No,Sí,No,Sí,3,5,5,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,13,4,5,2,5
Mujer,Española,Entre 45 y 54 años,Bachillerato,Altabix,Ama/o de casa,Calzado,Menos de 10 años cotizados,Muy poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Nada,Sí,No,No,No,No,No,No,No,0,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,18,6,0,2,5
Hombre,Española,Entre 55 y 64 años,Educación Primaria,Carrús,Trabajador autónomo,Servicio doméstico,31 o más años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Nada,Sí,No,Sí,Sí,Sí,Sí,No,Sí,4,3,6,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,0,6,5,3,5
Mujer,Española,Entre 55 y 64 años,Educación Primaria,Altabix,Jubilado/Pensionista,Calzado,31 o más años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,Poca,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,NS-NC,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Nada,Sí,No,No,No,No,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,12,4,2,3,4
Mujer,Española,Entre 18 y 24 años,Título Universitario,El Pla,Estudiante,Estudiando,Nunca he cotizado,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Ninguna,Poca,Poca,Ninguna,Moderada o mucha,Moderada o mucha,Poca,Ninguna,NS-NC,Igual,Ha aumentado,NS-NC,Otro,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,No,No,No,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,7,4,3,2,5
Mujer,Española,De 65 en adelante,Sin estudios,Carrús,Ama/o de casa,Calzado,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Poca,Igual,Ni ha disminuido ni ha aumentado,No,Empresario,Sí,Sí,Sí,No,No,Sí,Nada,No,Sí,Sí,Sí,Sí,Sí,No,Sí,4,4,0,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,No,Sí,Sí,No,9,4,6,3,2
Mujer,Española,Entre 45 y 54 años,NS-NC,Carrús,Ama/o de casa,Amo/a de casa,Nunca he cotizado,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Poca,Moderada o mucha,Ninguna,Moderada o mucha,Poca,Poca,Moderada o mucha,Poca,Poca,Igual,Ni ha disminuido ni ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,No,No,Sí,Ns/Nc,Sí,Sí,No,Sí,No,NS-NC,No,Sí,0,2,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,No,Sí,Sí,No,Sí,11,4,3,2,3
Mujer,Española,Entre 45 y 54 años,Educación secundaria,Carrús,Ama/o de casa,Calzado,Menos de 10 años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,Poca,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Igual,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,6,5,7,De acuerdo,De acuerdo,De acuerdo,Sí,No,Sí,Sí,Sí,Sí,Sí,12,5,7,3,4
Hombre,Española,De 65 en adelante,Educación Primaria,Carrús,Jubilado/Pensionista,Otro,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Poca,Moderada o mucha,Poca,Poca,Poca,Poca,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,No,Sí,Sí,No,Sí,No,Sí,0,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,4,4,2,5
Mujer,Española,Entre 55 y 64 años,Sin estudios,Carrús,En paro,Calzado,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Moderada o mucha,NS-NC,Moderada o mucha,NS-NC,NS-NC,Moderada o mucha,Poca,NS-NC,NS-NC,NS-NC,Ha disminuido,Sí,A nadie (a largo plazo),Sí,Sí,Sí,No,Sí,No,Otro,Sí,No,No,Sí,No,Sí,No,Sí,0,0,2,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,No,Sí,Sí,7,4,3,3,4
Mujer,Española,De 65 en adelante,Sin estudios,Ciutat Vella,Jubilado/Pensionista,Calzado,Menos de 10 años cotizados,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Poca,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Ni ha disminuido ni ha aumentado,NS-NC,NS-NC,Sí,Sí,Sí,Sí,Sí,Sí,Ns/Nc,NS-NC,Sí,Sí,Sí,Sí,Sí,Sí,Sí,0,0,0,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,No,No,1,6,7,1,4
Hombre,Española,Entre 45 y 54 años,Educación Primaria,Ciutat Vella,En paro,Construcción,31 o más años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,Poca,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Ha aumentado,NS-NC,NS-NC,No,No,Sí,No,Sí,Sí,Nada,No,No,No,Sí,No,Sí,No,Sí,5,0,1,De acuerdo,De acuerdo,NS-NC,Sí,Sí,Sí,No,Sí,Sí,No,7,3,3,2,4
Mujer,Española,Entre 45 y 54 años,Sin estudios,Altabix,En paro,Servicio doméstico,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,NS-NC,NS-NC,Poca,NS-NC,Moderada o mucha,Moderada o mucha,Poca,Poca,Moderada o mucha,NS-NC,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,8,6,4,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,9,4,6,2,5
Hombre,Española,Entre 18 y 24 años,Educación Primaria,Ciutat Vella,Otro,Calzado,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Poca,Poca,Poca,Poca,Poca,Más,Ha aumentado,Sí,Empresario,Sí,No,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,No,Sí,No,Sí,No,Sí,3,1,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,9,3,4,2,5
Mujer,Española,Entre 55 y 64 años,Educación Primaria,Carrús,Trabajador por cuenta ajena,Sanidad,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,NS-NC,Ninguna,Moderada o mucha,Moderada o mucha,NS-NC,Ninguna,NS-NC,NS-NC,NS-NC,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Otro,NS-NC,No,No,No,No,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,6,4,2,3,4
Mujer,Española,De 65 en adelante,Sin estudios,Ciutat Vella,Jubilado/Pensionista,Servicio doméstico,Entre 10 y 20 años cotizados,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,NS-NC,Poca,NS-NC,Poca,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,1,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,8,6,7,3,5
Hombre,Española,Entre 55 y 64 años,Formación Profesional,Altabix,Trabajador por cuenta ajena,Hostelería-Turismo,Entre 10 y 20 años cotizados,En general responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,8,8,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,14,6,7,2,5
Mujer,Española,Entre 55 y 64 años,Educación Primaria,Altabix,En paro,Calzado,Entre 10 y 20 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Ninguna,NS-NC,NS-NC,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,0,0,2,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,8,5,7,2,5
Mujer,Española,Entre 45 y 54 años,Sin estudios,Carrús,En paro,Resto sector servicios,Menos de 10 años cotizados,Muy poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Moderada o mucha,Moderada o mucha,Poca,Poca,Poca,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,9,5,9,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,No,11,4,6,3,4
Hombre,Española,Entre 18 y 24 años,Título Universitario,Altabix,Estudiante,Estudiando,Menos de 10 años cotizados,Poco responsables,Muy poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Poca,Moderada o mucha,Poca,Poca,Poca,Menos,Ha disminuido,Sí,Otro,Sí,No,Sí,No,No,Sí,Nada,Sí,No,No,Sí,No,Sí,No,Sí,1,5,0,En desacuerdo,En desacuerdo,De acuerdo,Sí,No,Sí,Sí,No,Sí,No,13,3,3,1,3
Mujer,Española,De 65 en adelante,Educación Primaria,Carrús,Jubilado/Pensionista,Servicio doméstico,Menos de 10 años cotizados,Muy poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,Moderada o mucha,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Menos,Ni ha disminuido ni ha aumentado,No,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,2,2,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,13,6,7,3,5
Mujer,Española,De 65 en adelante,Educación secundaria,El Pla,Jubilado/Pensionista,Resto sector servicios,31 o más años cotizados,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Poca,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,NS-NC,Ni ha disminuido ni ha aumentado,Sí,Otro,Sí,No,Sí,Sí,Sí,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,11,5,6,3,5
Mujer,Española,De 65 en adelante,Bachillerato,Ciutat Vella,Jubilado/Pensionista,Amo/a de casa,Entre 10 y 20 años cotizados,Muy poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Ns/Nc,Sí,Sí,No,Sí,No,Sí,No,Sí,0,8,8,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,4,4,4,3,4
Mujer,Extranjera,Entre 35 y 44 años,Título Universitario,Carrús,En paro,Resto sector servicios,Menos de 10 años cotizados,Poco responsables,Poco responsables,Poco frecuentes: 1 persona de cada 4,NS-NC,Poca,Poca,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,NS-NC,Ha disminuido,No,Empresario,Sí,No,No,No,No,Sí,Otro,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,3,4,4,De acuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,No,No,No,10,2,6,2,2
Mujer,Española,Entre 25 y 34 años,Título Universitario,Carrús,Trabajador por cuenta ajena,Estudiando,Menos de 10 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,NS-NC,Igual,Ha aumentado,Sí,Empresario,Sí,No,Sí,No,Sí,Sí,Otro,Sí,No,Sí,Sí,No,Sí,No,Sí,4,4,5,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,No,12,4,4,3,4
Mujer,Española,Entre 55 y 64 años,Formación Profesional,Carrús,Trabajador por cuenta ajena,Sanidad,31 o más años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Más,Ha aumentado,Sí,Empresario,Sí,No,Sí,No,Sí,Sí,Nada,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,1,0,0,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,11,4,7,2,5
